Name,Author,User Rating,Reviews,Price,Year,Genre,Genre_encoded,Reviews_log,Title_length
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17.68,2017,Non Fiction,0,9.035272443893536,70
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,8.33,2009,Fiction,1,8.613593685702552,24
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,11.4,2011,Non Fiction,0,9.142382678792956,105
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4.76,2009,Non Fiction,0,7.565793282428515,33
Life,Keith Richards,4.5,2752,21.06,2010,Non Fiction,0,7.920446505142607,4
The Big Book of Silly Jokes for Kids,Carole P. Roman,4.7,11668,8.91,2020,Fiction,1,9.364691031806107,36
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22.44,2018,Non Fiction,0,8.236685322712457,60
Steve Jobs,Walter Isaacson,4.6,7827,22.8,2011,Non Fiction,0,8.965462328515967,10
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,27.75,2012,Non Fiction,0,9.06357899058078,35
All the Light We Cannot See,Anthony Doerr,4.6,36348,15.12,2014,Fiction,1,10.50092197226688,27
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5.0,2019,Non Fiction,0,9.289243969571649,47
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,19.98,2012,Non Fiction,0,9.743612184572003,51
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15.3,2018,Non Fiction,0,10.184560331647974,86
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4.32,2014,Non Fiction,0,8.20903626577507,26
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,9.36,2010,Fiction,1,10.193990642174612,29
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6.48,2015,Non Fiction,0,7.990238185720363,46
Under the Dome: A Novel,Stephen King,4.3,6740,23.8,2009,Fiction,1,8.815963560853438,23
Cutting for Stone,Abraham Verghese,4.6,4866,12.54,2011,Fiction,1,8.490233009833455,17
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,11.9,2009,Fiction,1,9.058121158998672,49
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16.96,2016,Non Fiction,0,8.468423027046809,62
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Printsâ€¦",Johanna Basford,4.7,5413,9.72,2015,Non Fiction,0,8.596743470174246,123
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,18.7,2013,Non Fiction,0,7.88758403166028,106
Orphan Train,Christina Baker Kline,4.6,21930,11.88,2014,Fiction,1,9.995656440007505,12
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12.96,2014,Non Fiction,0,10.058737627806687,94
Educated: A Memoir, Tara Westover ,4.7,45351,10.89,2020,Non Fiction,0,10.72220955600414,18
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,7.14,2009,Fiction,1,8.23217423638394,24
The Help,Kathryn Stockett,4.8,13871,9.12,2011,Fiction,1,9.537627699020323,8
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie KondÅ,4.5,22641,11.88,2015,Non Fiction,0,10.027561867638054,86
Human Body Activity Book for Kids: Hands-On Fun for Grades K-3,Katie Stokes,4.7,14128,4.95,2020,Non Fiction,0,9.555984701765809,62
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,15.96,2011,Fiction,1,8.955190024526887,58
The Fault in Our Stars,John Green,4.7,50482,7.56,2014,Fiction,1,10.829391924926254,22
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8.48,2016,Non Fiction,0,10.14858827120238,51
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23.92,2017,Non Fiction,0,9.317309592973425,86
Divergent,Veronica Roth,4.6,27098,16.5,2013,Fiction,1,10.207252105817954,9
StrengthsFinder 2.0,Gallup,4.0,5069,18.7,2013,Non Fiction,0,8.531096096585228,19
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11.88,2015,Non Fiction,0,10.126711100650509,37
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5.4,2015,Non Fiction,0,8.56331312702979,94
The Martian,Andy Weir,4.7,39459,9.72,2015,Fiction,1,10.583042779576607,11
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,11.4,2011,Non Fiction,0,9.666498594399865,82
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,20.52,2015,Fiction,1,9.614671504043145,26
The Maze Runner (Book 1),James Dashner,4.5,10101,8.64,2014,Fiction,1,9.220488703027998,24
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show withÂ…,4.6,6669,12.24,2018,Non Fiction,0,8.80537513890967,82
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13.52,2017,Fiction,1,9.847181716325034,32
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7.56,2014,Fiction,1,9.360224821513475,16
I Love You to the Moon and Back,Amelia Hepworth,4.9,24356,0.99,2020,Fiction,1,10.100574561530555,31
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,10.26,2011,Non Fiction,0,9.136693831807884,36
School Zone,School Zone,4.8,45485,7.92,2020,Fiction,1,10.72515986528436,11
Midnight Sun,Stephenie Meyer,4.8,64215,12.87,2020,Fiction,1,11.070007679811413,12
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie KondÅ,4.5,22641,11.66,2016,Non Fiction,0,10.027561867638054,86
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,9.72,2015,Non Fiction,0,9.14494815320913,89
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,15.12,2015,Fiction,1,10.151323716440709,77
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11.66,2016,Fiction,1,10.805456211402726,24
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7.14,2018,Non Fiction,0,8.905037290767,88
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,21.66,2011,Non Fiction,0,9.308827318690836,23
All the Light We Cannot See,Anthony Doerr,4.6,36348,15.12,2015,Fiction,1,10.50092197226688,27
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16.96,2016,Non Fiction,0,8.923857580099885,62
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,14.3,2013,Non Fiction,0,8.443115988019922,69
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5.3,2016,Fiction,1,9.880577100953023,27
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,19.8,2013,Fiction,1,10.048237036422325,28
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,22.0,2013,Fiction,1,8.593598522618644,36
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,11.4,2011,Fiction,1,9.37704054786718,38
The Wonky Donkey,Craig Smith,4.8,30183,4.08,2018,Fiction,1,10.315067261644147,16
Wonder,R. J. Palacio,4.8,21625,9.54,2016,Fiction,1,9.981651573505482,6
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,14.82,2011,Non Fiction,0,7.408530566894626,81
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,16.38,2010,Non Fiction,0,6.198478716492308,35
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,15.21,2010,Non Fiction,0,9.136693831807884,36
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,21.09,2012,Non Fiction,0,9.308827318690836,23
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5.0,2019,Fiction,1,9.880577100953023,27
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,30.24,2014,Non Fiction,0,7.9672801789422,35
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8.32,2017,Fiction,1,9.889439336810069,43
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,11.1,2012,Non Fiction,0,9.519074291124575,60
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4.4,2013,Non Fiction,0,8.852378886511985,29
The Confession: A Novel,John Grisham,4.3,3523,15.21,2010,Fiction,1,8.16735198705607,23
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Dietâ€¦,Thomas Campbell,4.7,4633,23.94,2011,Non Fiction,0,8.441175704992322,116
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11.88,2014,Non Fiction,0,10.126711100650509,37
Going Rogue: An American Life,Sarah Palin,4.6,1636,7.14,2009,Non Fiction,0,7.400620577371135,29
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,31.92,2011,Non Fiction,0,8.154212694914229,51
"Brown Bear, Brown Bear, What Do You See?", Bill Martin Jr.,4.9,25321,4.95,2020,Fiction,1,10.139428862080198,40
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12.0,2019,Non Fiction,0,8.862625169408922,102
Becoming,Michelle Obama,4.8,61133,11.0,2019,Non Fiction,0,11.02082345520234,8
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,23.4,2010,Non Fiction,0,6.013715156042802,31
The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,4.9,26047,6.93,2020,Fiction,1,10.167696268802267,43
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthyâ€¦,Jennifer Smith,4.4,7396,13.26,2018,Non Fiction,0,8.908829791587868,116
Sh*t My Dad Says,Justin Halpern,4.7,1265,12.87,2010,Non Fiction,0,7.143617602704121,16
The Book Thief,Markus Zusak,4.6,23148,6.6,2013,Fiction,1,10.049706862037105,14
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4.76,2009,Fiction,1,7.340835554123275,71
Steve Jobs,Walter Isaacson,4.6,7827,22.2,2012,Non Fiction,0,8.965462328515967,10
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9.36,2017,Non Fiction,0,9.14580185083861,34
Alexander Hamilton,Ron Chernow,4.8,9198,13.78,2016,Non Fiction,0,9.126850061477157,18
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,28.56,2009,Non Fiction,0,9.140561477368266,76
